train_file,hm3-c930.csv,hm3-i16.csv,hm3-i16m.csv,hm3-s9360.csv,hm3-s9380.csv,prc-c920.csv,prc-i15.csv,prc-i15m.csv,prc-s9160.csv,prc-s9180.csv
hm3-c930.csv,,6.299367427825928,5.96480655670166,5.951174736022949,5.693394660949707,6.204524517059326,5.950329303741455,6.085690975189209,6.1910576820373535,6.209023475646973
hm3-i16.csv,6.647265911102295,,4.572734355926514,6.2386884689331055,6.466794490814209,7.088933944702148,7.003447532653809,6.138847827911377,10.118819236755371,8.341448783874512
hm3-i16m.csv,5.726988792419434,5.081155300140381,,5.677152633666992,6.1139044761657715,7.7327985763549805,7.268086910247803,7.256276607513428,8.423903465270996,7.377578258514404
hm3-s9360.csv,6.179713249206543,5.773351192474365,5.560588359832764,,5.203056335449219,6.60954475402832,6.835761547088623,6.276333808898926,6.2989277839660645,6.374465465545654
hm3-s9380.csv,6.4981794357299805,6.196681022644043,5.949906349182129,5.199563026428223,,6.921203136444092,6.785383701324463,6.2465057373046875,6.864258766174316,6.7100677490234375
prc-c920.csv,7.76914119720459,7.654139518737793,7.4934186935424805,7.458700180053711,7.330014228820801,,2.7240469455718994,2.658261299133301,2.848653554916382,2.568065881729126
prc-i15.csv,7.607802867889404,7.749932765960693,7.655969619750977,7.604041576385498,7.4712233543396,3.3751306533813477,,2.853937864303589,3.285557746887207,2.9813764095306396
prc-i15m.csv,7.881443023681641,8.057573318481445,7.8699164390563965,7.940633296966553,7.614201545715332,3.2506556510925293,2.7348263263702393,,3.252030372619629,2.981071710586548
prc-s9160.csv,7.8067240715026855,7.853332042694092,7.555213928222656,7.713333606719971,7.337625980377197,3.522610902786255,3.277968645095825,3.334463119506836,,3.035665512084961
prc-s9180.csv,8.531094551086426,8.535128593444824,8.401802062988281,8.278576850891113,7.964547634124756,2.80214262008667,2.764021873474121,2.745182514190674,2.6275932788848877,
