train_file,hm3-c930.csv,hm3-i16.csv,hm3-i16m.csv,hm3-s9360.csv,hm3-s9380.csv,prc-c920.csv,prc-i15.csv,prc-i15m.csv,prc-s9160.csv,prc-s9180.csv,prc2-c930.csv,prc2-i16.csv,prc2-i16m.csv,prc2-s9360.csv,prc2-s9380.csv
hm3-c930.csv,,-0.042847514152526855,-0.007636427879333496,-0.012546420097351074,-0.016718149185180664,-1.1042430400848389,-0.8475068807601929,-0.9179972410202026,-1.1904492378234863,-1.4090869426727295,-0.22550249099731445,-0.4919712543487549,-0.40132391452789307,-0.37431609630584717,-0.4944498538970947
hm3-i16.csv,-0.15075254440307617,,0.03421097993850708,-0.06480824947357178,-0.0688784122467041,-1.4179723262786865,-0.9846140146255493,-0.9786055088043213,-1.9658865928649902,-1.9752130508422852,-0.39550578594207764,-0.5469983816146851,-0.477197527885437,-0.6567490100860596,-0.8325815200805664
hm3-i16m.csv,-0.08337521553039551,0.048528850078582764,,0.02456951141357422,-0.03802621364593506,-1.0980687141418457,-0.9053806066513062,-0.8752444982528687,-1.4355790615081787,-1.3941850662231445,-0.26530587673187256,-0.41246092319488525,-0.3222768306732178,-0.43018174171447754,-0.5140889883041382
hm3-s9360.csv,-0.12895119190216064,-0.1060030460357666,-0.04110527038574219,,0.06923997402191162,-1.2479584217071533,-1.0360097885131836,-0.9085776805877686,-1.1452689170837402,-1.2399380207061768,-0.33432435989379883,-0.3930683135986328,-0.30616676807403564,-0.3543837070465088,-0.49625182151794434
hm3-s9380.csv,-0.11849427223205566,-0.11681318283081055,-0.07396078109741211,0.07603776454925537,,-1.2591969966888428,-1.0789055824279785,-1.092581033706665,-1.465217113494873,-1.4341886043548584,-0.5430346727371216,-0.7123479843139648,-0.5798872709274292,-0.6317665576934814,-0.7211781740188599
prc-c920.csv,-1.1389758586883545,-1.1359953880310059,-1.0950770378112793,-1.1004846096038818,-1.0740351676940918,,0.1827148199081421,0.21248966455459595,0.11476337909698486,0.15924227237701416,-0.09465503692626953,-0.09047198295593262,-0.03827548027038574,-0.0597076416015625,-0.027176499366760254
prc-i15.csv,-1.1620841026306152,-1.19753098487854,-1.196422815322876,-1.1962227821350098,-1.1445131301879883,0.08719688653945923,,0.22764450311660767,0.05496436357498169,0.08409309387207031,-0.1058584451675415,-0.149178147315979,-0.09046554565429688,-0.06876397132873535,-0.03671681880950928
prc-i15m.csv,-1.1431753635406494,-1.1432340145111084,-1.1205496788024902,-1.1423993110656738,-1.134932279586792,0.05778765678405762,0.25053828954696655,,0.027361750602722168,0.02869480848312378,0.04618185758590698,-0.10113489627838135,-0.017056584358215332,0.008178472518920898,0.013805091381072998
prc-s9160.csv,-1.0190284252166748,-1.0665414333343506,-0.9998602867126465,-1.057471752166748,-0.9736788272857666,-0.21192169189453125,0.017458617687225342,0.019963502883911133,,-0.028784871101379395,0.06407672166824341,-0.18273282051086426,-0.0719904899597168,0.07662022113800049,0.04298877716064453
prc-s9180.csv,-1.025087594985962,-1.039048194885254,-1.0129477977752686,-1.0293409824371338,-0.9521321058273315,0.10964417457580566,0.14825314283370972,0.17263025045394897,0.19015878438949585,,-0.00896906852722168,-0.043575406074523926,0.021297097206115723,0.07857942581176758,0.0682947039604187
prc2-c930.csv,-0.3804260492324829,-0.3588716983795166,-0.3054436445236206,-0.33156824111938477,-0.36220085620880127,-0.4202762842178345,-0.24562525749206543,-0.20237946510314941,-0.04811406135559082,-0.3228583335876465,,-0.08724451065063477,0.04524970054626465,0.07906222343444824,0.010417461395263672
prc2-i16.csv,-0.5158995389938354,-0.5169186592102051,-0.44001758098602295,-0.41039156913757324,-0.4259754419326782,-0.06728386878967285,0.027983427047729492,0.08249020576477051,-0.06579887866973877,-0.07254064083099365,0.16545283794403076,,0.1891840696334839,0.09545755386352539,0.09265267848968506
prc2-i16m.csv,-0.31085991859436035,-0.34327006340026855,-0.28593993186950684,-0.27858710289001465,-0.2756478786468506,-0.2298821210861206,-0.02422952651977539,-0.000756382942199707,-0.1618274450302124,-0.19149553775787354,0.20143121480941772,0.1273983120918274,,0.10558229684829712,0.07902836799621582
prc2-s9360.csv,-0.5096532106399536,-0.5676854848861694,-0.5198836326599121,-0.5083003044128418,-0.5033613443374634,-0.1923123598098755,0.0057239532470703125,0.04067409038543701,-0.05188727378845215,-0.1150369644165039,0.2242068648338318,0.052053630352020264,0.12738919258117676,,0.16899579763412476
prc2-s9380.csv,-0.4387551546096802,-0.5037535429000854,-0.4445688724517822,-0.4360044002532959,-0.4475703239440918,-0.13044226169586182,0.023279249668121338,0.048809051513671875,-0.03859364986419678,-0.09303522109985352,0.20341795682907104,0.0646592378616333,0.13630753755569458,0.17966097593307495,
